Pixel Intensity,Frequency
0.0,230
1.0,233
2.0,245
3.0,227
4.0,248
5.0,249
6.0,269
7.0,273
8.0,248
9.0,231
10.0,270
11.0,235
12.0,262
13.0,256
14.0,243
15.0,268
16.0,278
17.0,257
18.0,247
19.0,239
20.0,285
21.0,264
22.0,260
23.0,277
24.0,283
25.0,270
26.0,238
27.0,262
28.0,257
29.0,249
30.0,253
31.0,252
32.0,245
33.0,271
34.0,266
35.0,250
36.0,247
37.0,263
38.0,271
39.0,267
40.0,234
41.0,273
42.0,264
43.0,249
44.0,276
45.0,262
46.0,251
47.0,236
48.0,264
49.0,245
50.0,262
51.0,217
52.0,307
53.0,260
54.0,270
55.0,257
56.0,247
57.0,266
58.0,239
59.0,284
60.0,233
61.0,242
62.0,262
63.0,278
64.0,233
65.0,250
66.0,246
67.0,252
68.0,248
69.0,248
70.0,257
71.0,257
72.0,234
73.0,255
74.0,258
75.0,230
76.0,238
77.0,242
78.0,260
79.0,257
80.0,261
81.0,236
82.0,230
83.0,255
84.0,252
85.0,242
86.0,271
87.0,276
88.0,251
89.0,254
90.0,247
91.0,257
92.0,251
93.0,258
94.0,254
95.0,241
96.0,250
97.0,257
98.0,276
99.0,267
100.0,262
101.0,268
102.0,264
103.0,275
104.0,254
105.0,267
106.0,259
107.0,252
108.0,245
109.0,247
110.0,245
111.0,253
112.0,214
113.0,254
114.0,246
115.0,229
116.0,257
117.0,253
118.0,240
119.0,266
120.0,279
121.0,263
122.0,261
123.0,269
124.0,226
125.0,252
126.0,223
127.0,270
128.0,247
129.0,261
130.0,253
131.0,252
132.0,266
133.0,274
134.0,266
135.0,236
136.0,260
137.0,237
138.0,235
139.0,261
140.0,253
141.0,242
142.0,240
143.0,235
144.0,266
145.0,266
146.0,307
147.0,251
148.0,254
149.0,254
150.0,254
151.0,263
152.0,295
153.0,254
154.0,251
155.0,247
156.0,256
157.0,264
158.0,255
159.0,266
160.0,284
161.0,272
162.0,272
163.0,235
164.0,266
165.0,213
166.0,237
167.0,251
168.0,286
169.0,264
170.0,261
171.0,295
172.0,275
173.0,288
174.0,273
175.0,260
176.0,259
177.0,268
178.0,269
179.0,256
180.0,266
181.0,277
182.0,255
183.0,248
184.0,280
185.0,262
186.0,262
187.0,239
188.0,260
189.0,273
190.0,248
191.0,262
192.0,272
193.0,252
194.0,239
195.0,273
196.0,290
197.0,266
198.0,233
199.0,295
200.0,235
201.0,275
202.0,271
203.0,244
204.0,227
205.0,264
206.0,244
207.0,261
208.0,245
209.0,238
210.0,261
211.0,264
212.0,248
213.0,248
214.0,255
215.0,238
216.0,233
217.0,276
218.0,280
219.0,233
220.0,249
221.0,253
222.0,259
223.0,267
224.0,263
225.0,261
226.0,246
227.0,281
228.0,226
229.0,257
230.0,270
231.0,251
232.0,255
233.0,267
234.0,254
235.0,251
236.0,255
237.0,266
238.0,243
239.0,245
240.0,261
241.0,248
242.0,255
243.0,247
244.0,283
245.0,237
246.0,219
247.0,289
248.0,263
249.0,254
250.0,229
251.0,250
252.0,247
253.0,251
254.0,280
255.0,247
